Id,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,ScreenPorch,MiscVal,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice_log,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,HeatingQC,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,MoSold,YrSold,YrBltAndRemod,NewFirePlaces,NewExterQualCond,NewCentrAirElec,NewKitchen,NewSale,SalePrice,1stFlrSF²,1stFlrSFGarageArea,GarageArea²,PR3_6,PR3_7,PR3_8,PR3_9,PR3_10,PR3_11,PR3_12,PR3_13,PR3_14,PR3_15,PR3_16,PR3_17,PR3_18,PR3_19,PR3_20,PR3_21,PR3_22,PR3_23,PR3_24,PR3_25,PR3_26,PR3_27,PR3_28,PR3_29,PR3_30,PR3_31,PR3_32,PR3_33,PR3_34,PR3_35,PR3_36,PR3_37,PR3_38,PR3_39,PR3_40,PR3_41,PR3_42,PR3_43,PR3_44,PR3_45,PR3_46,PR3_47,PR3_48,PR3_49,PR3_50,PR3_51,PR3_52,PR3_53,PR3_54,PR3_55
500,0.0,111,522,912,912,0,912,297,0,480,1824,1302,1.5,297,0,0,1,1,0,11.69923904303372,1,2,2,1,2,2,1,1,1,3,2,1,2,2,3,2,3,2,2,2,1,2,2,1,1,2,2,2,3,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,4,1,2,1,2,2,14,21,11,12,11,120480,831744.0,270864.0,88209.0,12321.0,57942.0,101232.0,0.0,101232.0,272484.0,476064.0,0.0,476064.0,831744.0,0.0,831744.0,0.0,0.0,831744.0,1367631.0,6431562.0,11236752.0,0.0,11236752.0,30245724.0,52843104.0,0.0,52843104.0,92323584.0,0.0,92323584.0,0.0,0.0,92323584.0,142236648.0,248505408.0,0.0,248505408.0,434170368.0,0.0,434170368.0,0.0,0.0,434170368.0,758550528.0,0.0,758550528.0,0.0,0.0,758550528.0,0.0,0.0,0.0,758550528.0
366,0.0,456,216,672,672,672,1344,468,0,0,2016,1800,1.0,346,0,1,1,1,0,11.898187865760873,3,3,1,2,2,1,1,1,1,3,2,1,2,2,3,1,3,1,1,1,1,2,2,3,1,2,1,1,2,1,1,1,1,2,3,1,3,2,2,2,1,3,1,1,4,4,1,2,4,1,14,21,12,12,11,147000,451584.0,314496.0,219024.0,207936.0,98496.0,306432.0,306432.0,612864.0,46656.0,145152.0,145152.0,290304.0,451584.0,451584.0,903168.0,451584.0,903168.0,1806336.0,94818816.0,44914176.0,139732992.0,139732992.0,279465984.0,21275136.0,66189312.0,66189312.0,132378624.0,205922304.0,205922304.0,411844608.0,205922304.0,411844608.0,823689216.0,10077696.0,31352832.0,31352832.0,62705664.0,97542144.0,97542144.0,195084288.0,97542144.0,195084288.0,390168576.0,303464448.0,303464448.0,606928896.0,303464448.0,606928896.0,1213857792.0,303464448.0,606928896.0,1213857792.0,2427715584.0
309,0.0,262,599,861,861,0,861,539,0,0,1722,1123,1.0,158,0,0,1,1,0,11.320553572322773,2,2,2,3,2,2,1,1,1,3,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3,2,2,3,1,1,1,3,1,1,1,1,4,1,14,21,11,12,11,82500,741321.0,464079.0,290521.0,68644.0,156938.0,225582.0,0.0,225582.0,358801.0,515739.0,0.0,515739.0,741321.0,0.0,741321.0,0.0,0.0,741321.0,17984728.0,41117756.0,59102484.0,0.0,59102484.0,94005862.0,135123618.0,0.0,135123618.0,194226102.0,0.0,194226102.0,0.0,0.0,194226102.0,214921799.0,308927661.0,0.0,308927661.0,444051279.0,0.0,444051279.0,0.0,0.0,444051279.0,638277381.0,0.0,638277381.0,0.0,0.0,638277381.0,0.0,0.0,0.0,638277381.0
798,0.0,570,203,773,773,0,773,240,0,0,1546,1343,1.0,0,0,0,1,1,0,11.608235644774552,1,2,1,1,2,1,1,1,1,3,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,14,21,11,12,12,110000,597529.0,185520.0,57600.0,324900.0,115710.0,440610.0,0.0,440610.0,41209.0,156919.0,0.0,156919.0,597529.0,0.0,597529.0,0.0,0.0,597529.0,185193000.0,65954700.0,251147700.0,0.0,251147700.0,23489130.0,89443830.0,0.0,89443830.0,340591530.0,0.0,340591530.0,0.0,0.0,340591530.0,8365427.0,31854557.0,0.0,31854557.0,121298387.0,0.0,121298387.0,0.0,0.0,121298387.0,461889917.0,0.0,461889917.0,0.0,0.0,461889917.0,0.0,0.0,0.0,461889917.0
704,0.0,0,360,360,1032,780,1812,672,0,0,2172,1812,2.0,384,0,1,1,1,1,11.84939770159144,2,3,3,1,2,1,1,1,1,3,1,2,2,2,3,1,3,2,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,3,3,1,3,3,2,3,1,1,2,4,1,2,2,1,5,1,24,21,11,23,11,140000,1065024.0,693504.0,451584.0,0.0,0.0,0.0,0.0,0.0,129600.0,129600.0,280800.0,652320.0,129600.0,280800.0,652320.0,608400.0,1413360.0,3283344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46656000.0,46656000.0,101088000.0,234835200.0,46656000.0,101088000.0,234835200.0,219024000.0,508809600.0,1182003840.0,46656000.0,101088000.0,234835200.0,219024000.0,508809600.0,1182003840.0,474552000.0,1102420800.0,2561008320.0,5949419328.0
859,189.0,0,1090,1090,1370,0,1370,479,0,0,2460,1370,2.0,0,0,0,1,1,1,11.931635799828411,1,2,3,2,2,1,1,1,1,2,2,1,2,4,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,2,3,1,1,2,1,3,1,1,1,1,1,1,2,1,4,2,23,21,11,12,13,152000,1876900.0,656230.0,229441.0,0.0,0.0,0.0,0.0,0.0,1188100.0,1188100.0,0.0,1493300.0,1188100.0,0.0,1493300.0,0.0,0.0,1876900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295029000.0,1295029000.0,0.0,1627697000.0,1295029000.0,0.0,1627697000.0,0.0,0.0,2045821000.0,1295029000.0,0.0,1627697000.0,0.0,0.0,2045821000.0,0.0,0.0,0.0,2571353000.0
26,640.0,0,1566,1566,1600,0,1600,890,0,0,3166,1600,2.0,56,0,0,1,1,1,12.454103912352162,1,2,4,4,2,1,1,2,1,1,2,1,2,4,2,4,3,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,3,1,1,4,1,4,1,1,1,1,4,1,1,2,4,4,22,11,11,13,11,256300,2560000.0,1424000.0,792100.0,0.0,0.0,0.0,0.0,0.0,2452356.0,2452356.0,0.0,2505600.0,2452356.0,0.0,2505600.0,0.0,0.0,2560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840389496.0,3840389496.0,0.0,3923769600.0,3840389496.0,0.0,3923769600.0,0.0,0.0,4008960000.0,3840389496.0,0.0,3923769600.0,0.0,0.0,4008960000.0,0.0,0.0,0.0,4096000000.0
89,0.0,0,1013,1013,1013,0,1526,0,0,0,2026,1013,1.0,156,0,0,0,1,0,11.350406535472452,3,3,4,1,2,2,1,2,1,3,1,1,1,1,1,1,2,1,2,2,1,2,2,3,1,2,1,1,2,1,1,1,1,1,3,1,5,1,3,1,3,3,2,1,1,4,2,1,4,1,14,22,21,12,12,85000,1026169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026169.0,1026169.0,0.0,1545838.0,1026169.0,0.0,1545838.0,0.0,0.0,2328676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039509197.0,1039509197.0,0.0,1565933894.0,1039509197.0,0.0,1565933894.0,0.0,0.0,2358948788.0,1039509197.0,0.0,1565933894.0,0.0,0.0,2358948788.0,0.0,0.0,0.0,3553559576.0
1130,180.0,936,0,936,936,0,936,672,0,0,1872,1872,2.0,49,0,0,1,1,0,11.84939770159144,2,3,1,1,1,1,1,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,3,2,2,3,1,1,1,1,1,1,1,1,2,2,14,21,11,12,11,140000,876096.0,628992.0,451584.0,876096.0,0.0,876096.0,0.0,876096.0,0.0,0.0,0.0,0.0,876096.0,0.0,876096.0,0.0,0.0,876096.0,820025856.0,0.0,820025856.0,0.0,820025856.0,0.0,0.0,0.0,0.0,820025856.0,0.0,820025856.0,0.0,0.0,820025856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820025856.0,0.0,820025856.0,0.0,0.0,820025856.0,0.0,0.0,0.0,820025856.0
1426,243.0,0,1252,1252,1252,0,1252,528,0,0,2504,1252,1.0,39,0,0,1,1,0,11.8635823365834,1,2,3,2,2,2,1,1,1,3,2,1,2,3,3,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,3,1,3,2,2,3,1,1,1,1,3,1,1,1,3,2,14,11,11,13,11,142000,1567504.0,661056.0,278784.0,0.0,0.0,0.0,0.0,0.0,1567504.0,1567504.0,0.0,1567504.0,1567504.0,0.0,1567504.0,0.0,0.0,1567504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962515008.0,1962515008.0,0.0,1962515008.0,1962515008.0,0.0,1962515008.0,0.0,0.0,1962515008.0,1962515008.0,0.0,1962515008.0,0.0,0.0,1962515008.0,0.0,0.0,0.0,1962515008.0
729,95.0,0,1584,1584,1776,0,1776,888,0,0,3360,1776,3.0,25,0,0,1,1,0,11.608235644774552,2,2,3,3,2,1,1,2,1,3,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,3,3,1,3,2,2,4,1,1,1,1,2,1,1,2,4,1,14,21,11,22,12,110000,3154176.0,1577088.0,788544.0,0.0,0.0,0.0,0.0,0.0,2509056.0,2509056.0,0.0,2813184.0,2509056.0,0.0,2813184.0,0.0,0.0,3154176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3974344704.0,3974344704.0,0.0,4456083456.0,3974344704.0,0.0,4456083456.0,0.0,0.0,4996214784.0,3974344704.0,0.0,4456083456.0,0.0,0.0,4996214784.0,0.0,0.0,0.0,5601816576.0
884,0.0,0,795,795,954,795,2230,440,0,0,2544,1749,2.0,188,0,1,1,1,0,11.682668239557325,4,2,1,1,2,1,2,1,1,3,2,1,2,1,2,1,1,2,2,2,1,1,2,3,1,2,1,1,2,2,1,1,1,4,4,1,3,3,2,2,1,2,1,1,4,1,1,1,1,1,14,11,21,12,11,118500,910116.0,419760.0,193600.0,0.0,0.0,0.0,0.0,0.0,632025.0,632025.0,632025.0,1772850.0,632025.0,632025.0,1772850.0,632025.0,1772850.0,4972900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502459875.0,502459875.0,502459875.0,1409415750.0,502459875.0,502459875.0,1409415750.0,502459875.0,1409415750.0,3953455500.0,502459875.0,502459875.0,1409415750.0,502459875.0,1409415750.0,3953455500.0,502459875.0,1409415750.0,3953455500.0,11089567000.0
607,0.0,732,308,1040,1040,0,1040,576,0,0,2080,1772,2.0,168,0,0,1,1,0,11.931635799828411,1,2,3,3,2,2,2,2,2,2,2,1,2,2,2,3,3,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,3,1,3,3,2,3,1,1,1,4,1,1,3,1,4,3,14,21,11,13,11,152000,1081600.0,599040.0,331776.0,535824.0,225456.0,761280.0,0.0,761280.0,94864.0,320320.0,0.0,320320.0,1081600.0,0.0,1081600.0,0.0,0.0,1081600.0,392223168.0,165033792.0,557256960.0,0.0,557256960.0,69440448.0,234474240.0,0.0,234474240.0,791731200.0,0.0,791731200.0,0.0,0.0,791731200.0,29218112.0,98658560.0,0.0,98658560.0,333132800.0,0.0,333132800.0,0.0,0.0,333132800.0,1124864000.0,0.0,1124864000.0,0.0,0.0,1124864000.0,0.0,0.0,0.0,1124864000.0
1184,0.0,821,299,1120,1130,0,1130,720,0,0,2250,1951,2.0,229,0,0,1,1,1,11.695247021764184,2,2,1,2,1,1,1,1,1,3,2,1,2,2,3,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,3,1,3,2,2,3,1,1,1,4,1,1,1,1,1,1,22,21,11,12,11,120000,1276900.0,813600.0,518400.0,674041.0,245479.0,919520.0,0.0,927730.0,89401.0,334880.0,0.0,337870.0,1254400.0,0.0,1265600.0,0.0,0.0,1276900.0,553387661.0,201538259.0,754925920.0,0.0,761666330.0,73398221.0,274936480.0,0.0,277391270.0,1029862400.0,0.0,1039057600.0,0.0,0.0,1048334900.0,26730899.0,100129120.0,0.0,101023130.0,375065600.0,0.0,378414400.0,0.0,0.0,381793100.0,1404928000.0,0.0,1417472000.0,0.0,0.0,1430128000.0,0.0,0.0,0.0,1442897000.0
809,700.0,516,380,1024,1086,0,1086,484,0,0,2110,1730,2.0,0,0,0,1,1,1,11.982616545377663,4,2,3,3,2,1,1,1,1,3,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,3,1,1,2,1,3,1,1,1,1,1,1,2,1,1,2,22,21,11,12,11,159950,1179396.0,525624.0,234256.0,266256.0,196080.0,528384.0,0.0,560376.0,144400.0,389120.0,0.0,412680.0,1048576.0,0.0,1112064.0,0.0,0.0,1179396.0,137388096.0,101177280.0,272646144.0,0.0,289154016.0,74510400.0,200785920.0,0.0,212942880.0,541065216.0,0.0,573825024.0,0.0,0.0,608568336.0,54872000.0,147865600.0,0.0,156818400.0,398458880.0,0.0,422584320.0,0.0,0.0,448170480.0,1073741824.0,0.0,1138753536.0,0.0,0.0,1207701504.0,0.0,0.0,0.0,1280824056.0
453,42.0,742,130,872,888,868,1756,422,0,0,2628,2498,3.5,266,0,1,1,1,0,12.225875272826354,1,2,3,2,2,2,1,2,1,2,2,1,2,3,2,3,3,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,3,1,1,3,1,3,1,1,1,3,4,1,1,2,2,3,14,11,11,12,11,204000,788544.0,374736.0,178084.0,550564.0,96460.0,647024.0,644056.0,1302952.0,16900.0,113360.0,112840.0,228280.0,760384.0,756896.0,1531232.0,753424.0,1524208.0,3083536.0,408518488.0,71573320.0,480091808.0,477889552.0,966790384.0,12539800.0,84113120.0,83727280.0,169383760.0,564204928.0,561616832.0,1136174144.0,559040608.0,1130962336.0,2287983712.0,2197000.0,14736800.0,14669200.0,29676400.0,98849920.0,98396480.0,199060160.0,97945120.0,198147040.0,400859680.0,663054848.0,660013312.0,1335234304.0,656985728.0,1329109376.0,2688843392.0,653972032.0,1323012544.0,2676509248.0,5414689216.0
1396,245.0,0,1094,1094,1133,1349,2482,642,0,0,3576,2482,2.5,183,0,1,1,1,1,12.54686766829102,1,2,3,3,2,2,1,1,1,2,2,1,2,4,2,3,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,3,3,1,2,3,1,4,1,1,1,3,3,1,1,3,2,4,22,11,11,13,11,281213,1283689.0,727386.0,412164.0,0.0,0.0,0.0,0.0,0.0,1196836.0,1196836.0,1475806.0,2715308.0,1196836.0,1475806.0,2715308.0,1819801.0,3348218.0,6160324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309338584.0,1309338584.0,1614531764.0,2970546952.0,1309338584.0,1614531764.0,2970546952.0,1990862294.0,3662950492.0,6739394456.0,1309338584.0,1614531764.0,2970546952.0,1990862294.0,3662950492.0,6739394456.0,2454911549.0,4516746082.0,8310277076.0,15289924168.0
