Id,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,ScreenPorch,MiscVal,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice_log,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,HeatingQC,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,MoSold,YrSold,YrBltAndRemod,NewFirePlaces,NewExterQualCond,NewCentrAirElec,NewKitchen,NewSale,SalePrice
1396,245.0,0,1094,1094,1133,1349,2482,642,0,0,3576,2482,2.5,183,0,1,1,1,1,12.54686766829102,1,2,3,3,2,2,1,1,1,2,2,1,2,4,2,3,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,3,3,1,2,3,1,4,1,1,1,3,3,1,1,3,2,4,22,11,11,13,11,281213
1079,169.0,662,186,848,848,0,848,420,0,0,1696,1510,2.0,140,0,0,1,1,1,11.956970055045868,1,3,1,1,2,1,1,1,1,2,2,3,2,3,2,3,3,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,1,1,3,22,11,11,13,11,155900
147,0.0,209,506,715,875,0,875,180,0,0,1590,1084,2.0,48,0,0,1,1,0,11.56171562913966,2,3,1,1,2,1,1,2,1,3,2,1,2,2,3,1,3,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,3,1,3,1,2,2,3,1,1,1,1,1,1,1,4,2,14,21,12,12,11,105000
907,208.0,63,1560,1623,1636,0,1636,865,0,0,3259,1699,3.0,60,0,0,1,1,1,12.449018824140564,1,2,4,3,2,2,1,2,1,2,2,1,2,4,2,4,3,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,3,1,1,4,1,4,1,1,1,1,4,1,1,1,2,4,22,11,11,13,11,255000
615,0.0,150,0,630,630,0,630,0,0,0,1260,1260,2.0,120,0,0,0,1,0,11.231887935237117,2,3,1,1,2,1,1,1,1,3,2,3,1,1,3,2,2,2,1,1,1,2,2,1,1,2,3,2,1,2,1,1,1,1,1,1,5,1,3,1,3,3,1,2,2,1,1,1,5,2,14,21,11,12,11,75500
406,0.0,1116,165,1281,1620,0,1620,490,0,0,2901,2736,3.0,198,0,0,1,1,1,11.918390573078392,1,2,2,2,2,2,1,2,1,3,1,1,2,1,1,2,3,2,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,3,2,1,3,2,3,1,1,1,3,4,1,2,1,4,3,23,21,11,12,11,150000
46,412.0,456,1296,1752,1752,0,1752,576,0,0,3504,2208,3.0,278,0,0,1,1,1,12.675763725937609,1,2,2,1,2,1,1,1,1,1,2,3,2,4,2,3,3,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,3,1,3,1,1,1,4,4,1,1,3,5,3,22,11,11,11,11,319900
1444,0.0,0,952,952,952,0,952,192,40,0,1904,952,1.0,138,0,0,1,1,1,11.703545824578878,2,2,1,2,2,1,1,1,1,3,2,1,1,3,3,1,1,2,2,2,1,2,2,1,1,2,1,1,3,1,1,1,1,1,2,1,3,1,2,2,3,4,2,1,4,1,1,1,4,1,22,21,22,12,11,121000
1242,0.0,0,1689,1689,1689,0,1689,936,0,0,3378,1689,2.0,56,0,0,1,1,0,12.422505731952896,1,2,3,2,2,1,1,1,1,2,2,1,2,4,3,4,3,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,3,1,1,4,1,4,1,1,1,1,4,1,1,1,2,4,14,11,11,13,23,248328
538,0.0,600,264,864,864,0,864,576,0,0,1728,1464,1.0,216,0,0,1,1,0,11.619535200028489,1,2,2,3,2,2,1,2,1,3,2,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,3,1,3,2,2,3,1,1,1,4,1,1,2,1,3,2,14,21,11,12,11,111250
455,0.0,1606,122,1728,1728,0,1728,560,0,0,3456,3334,4.0,0,0,0,1,1,0,12.144197241812089,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,3,1,2,1,3,3,1,3,2,2,3,1,1,1,1,1,1,1,2,1,2,14,21,11,22,13,188000
161,0.0,660,572,1232,1232,0,1232,516,0,0,2464,1892,2.0,0,0,0,1,1,0,11.998433280751929,1,2,2,3,2,2,1,3,1,2,2,1,2,3,3,2,3,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,3,1,1,2,2,3,1,1,1,1,1,1,1,1,3,3,14,21,11,12,11,162500
1434,318.0,0,936,936,962,830,1792,451,0,0,2728,1792,3.5,0,0,1,1,1,1,12.136186518066006,1,2,4,2,2,2,1,1,1,2,2,1,2,3,2,3,3,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,3,1,1,3,1,3,1,1,1,1,1,1,1,1,3,3,23,21,11,12,11,186500
1038,396.0,0,1055,1055,1055,1208,2263,905,189,0,3318,2263,2.5,234,0,1,1,1,1,12.567237494741756,1,2,2,2,2,1,1,1,1,2,2,1,2,4,2,3,3,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,3,1,2,3,1,3,1,1,1,1,4,1,1,1,3,3,23,11,11,13,11,287000
107,0.0,0,641,641,1047,0,1047,273,0,450,1688,1047,1.0,0,0,0,1,1,0,11.51741537024308,2,3,1,2,1,1,1,1,1,3,2,1,2,1,3,1,3,2,1,1,1,2,3,1,1,2,1,1,2,1,1,1,1,1,3,1,3,1,2,2,3,3,2,1,1,1,1,1,2,1,14,21,11,12,11,100450
1308,0.0,746,244,990,990,0,990,480,0,0,1980,1736,2.0,64,0,0,1,1,0,11.83500896413934,1,2,1,1,2,1,1,1,1,2,2,1,2,2,2,3,3,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,3,1,3,3,2,3,1,1,1,1,4,1,1,1,4,3,14,21,11,12,11,138000
877,0.0,633,431,1064,1040,0,1040,648,0,0,2104,1673,2.0,0,0,0,1,1,0,11.792449349720544,1,2,4,4,2,1,2,1,2,3,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,2,3,1,1,2,2,3,1,1,1,1,1,1,1,1,2,2,14,21,11,12,11,132250
772,0.0,836,0,836,1220,0,1220,396,0,0,2056,2056,1.0,0,0,0,1,1,0,11.532728092266408,1,2,2,2,2,1,1,1,1,3,2,1,2,1,2,1,1,2,2,2,1,2,3,3,1,2,1,1,2,1,1,1,1,1,3,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,14,21,12,12,11,102000
891,0.0,0,672,672,672,252,924,576,0,2000,1596,924,1.0,0,0,1,1,1,1,11.73526869611367,3,2,1,1,2,1,1,2,1,3,1,1,1,2,3,1,3,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,3,1,3,3,2,3,1,1,1,1,1,1,2,2,2,2,24,21,11,12,11,124900
421,200.0,1309,35,1344,1344,0,1344,784,0,0,2688,2653,4.0,0,0,0,1,1,0,12.237086699059343,2,3,3,1,2,1,1,1,1,3,2,2,1,4,2,3,3,2,1,1,2,1,2,2,2,1,1,1,1,3,1,2,1,1,3,1,1,3,1,4,1,1,1,1,1,1,1,1,3,3,14,21,11,22,13,206300
1447,189.0,593,595,1188,1188,0,1188,312,0,0,2376,1781,1.0,300,0,0,1,1,0,11.969717200243734,1,2,2,4,2,2,1,3,1,3,2,1,2,2,3,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,3,1,1,2,2,2,1,1,2,4,3,1,1,1,5,2,14,21,11,12,11,157900
1316,0.0,500,176,952,1092,1020,2112,576,0,0,3064,2888,2.5,280,0,1,1,1,1,12.239990863733636,1,2,3,3,2,1,1,1,1,3,2,1,2,3,2,2,2,2,2,2,1,2,3,1,1,2,2,2,2,1,1,2,2,3,3,1,1,2,2,3,1,1,1,4,1,1,1,1,3,2,22,21,11,12,11,206900
385,0.0,985,595,1580,1079,874,1953,501,0,0,3533,2938,3.5,447,0,1,1,1,1,12.388394202324127,1,2,3,4,2,2,2,2,2,2,1,1,2,3,2,3,3,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,3,1,1,3,1,3,1,1,1,4,4,1,1,1,2,3,24,11,11,13,11,240000
1048,0.0,686,304,990,990,0,990,672,0,0,1980,1676,1.5,0,0,0,1,1,0,11.884489021402713,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,3,1,3,3,2,3,1,1,1,1,1,1,1,3,3,3,14,21,11,12,11,145000
1334,0.0,0,803,803,803,557,1360,297,0,0,2163,1360,1.5,255,0,1,1,1,0,11.740061037553977,3,3,1,1,2,1,1,2,1,3,2,1,1,2,3,1,3,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,3,1,3,1,2,2,1,1,1,1,4,4,2,2,1,2,14,21,11,13,11,125500
1338,0.0,0,693,693,693,0,693,0,0,0,1386,693,1.0,20,0,0,0,1,0,10.868568448579715,2,3,4,1,1,2,2,2,2,3,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,3,1,1,1,1,1,2,1,5,1,3,1,3,3,2,1,2,1,1,1,1,1,14,21,22,12,11,52500
126,0.0,490,30,520,520,0,754,0,0,0,1040,1010,2.0,53,0,0,0,1,0,11.344506813345266,2,3,1,1,2,1,1,1,1,3,2,2,1,3,3,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,3,1,5,1,3,1,3,3,2,1,1,1,1,1,1,1,14,22,21,12,11,84500
710,41.0,0,876,876,904,0,904,408,0,0,1780,904,1.0,0,0,0,1,1,0,11.607326140391711,1,2,2,1,2,2,1,1,1,3,2,1,2,2,3,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,3,1,1,2,2,2,1,1,1,1,1,1,2,1,3,2,14,21,11,12,12,109900
1333,0.0,690,126,816,816,0,816,288,0,0,1632,1506,2.0,0,0,0,1,1,1,11.512925464970229,1,2,2,2,2,1,1,1,2,3,2,1,2,1,3,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,2,2,3,3,1,1,1,1,1,1,4,1,22,21,11,12,11,100000
1317,270.0,0,1622,1622,1630,0,1630,860,0,0,3252,1630,3.0,214,0,0,1,1,1,12.596400426884427,1,2,2,2,2,2,1,1,1,2,2,1,2,4,2,4,4,2,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,3,1,1,4,1,4,1,1,1,4,3,1,1,1,4,4,22,11,11,11,11,295493
148,180.0,0,884,884,884,1151,2035,434,0,0,2919,2035,2.5,192,0,1,1,1,1,12.312682380588432,1,2,2,2,2,2,1,3,1,2,2,1,2,4,2,3,3,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,3,1,2,3,1,3,1,1,1,3,4,1,1,1,5,3,22,11,11,13,11,222500
714,160.0,789,171,960,960,0,960,576,0,0,1920,1749,2.0,288,0,0,1,1,0,11.76756768334381,2,2,1,2,2,1,1,1,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,3,1,3,2,2,3,1,1,1,1,4,1,1,1,1,2,14,21,21,12,11,129000
688,0.0,239,312,551,551,551,1102,480,0,0,1653,1341,2.5,60,0,1,1,1,0,11.910358401381128,2,2,3,1,2,2,1,2,1,2,2,3,2,4,2,3,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,3,3,2,3,1,1,1,1,4,1,1,1,2,3,14,11,11,13,11,148800
1288,621.0,812,812,1624,1582,0,1582,390,0,0,3206,2394,2.5,366,0,0,1,1,0,12.154779351142624,1,2,3,4,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,3,1,2,2,1,3,3,1,1,2,2,3,1,1,2,4,4,1,1,1,1,2,14,21,11,12,11,190000
532,0.0,0,611,611,751,611,1362,502,0,0,1973,1362,2.0,84,0,1,1,1,0,11.759785542901756,3,3,1,1,2,2,1,3,1,3,3,1,2,3,3,1,3,2,2,2,1,2,3,3,1,2,1,1,1,1,1,2,1,2,3,1,3,1,1,3,1,3,1,1,1,3,1,1,3,2,14,21,11,12,11,128000
521,0.0,0,0,105,694,600,1294,0,0,0,1294,1294,2.0,544,0,1,0,0,0,11.573550086786664,2,2,1,2,1,1,1,1,1,3,2,2,2,1,3,1,3,2,2,2,1,2,3,3,3,2,2,1,2,1,1,2,1,2,3,1,5,1,3,1,3,3,2,4,4,4,1,1,3,1,14,21,22,22,11,106250
52,0.0,0,816,816,816,0,1176,528,0,400,1632,816,1.0,112,0,0,1,1,1,11.651817463836847,3,3,1,1,2,1,1,1,1,3,2,1,1,3,3,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,3,1,3,2,2,3,1,1,1,3,1,1,2,1,1,1,22,21,11,12,11,114900
206,0.0,0,1424,1424,1442,0,1442,500,0,0,2866,1442,2.0,542,0,0,1,1,0,12.103486056755072,1,2,4,3,2,1,1,2,1,2,2,1,2,4,2,3,3,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,3,1,1,3,1,3,1,1,1,1,3,1,1,1,4,3,14,21,11,12,11,180500
1110,42.0,1039,797,1836,1836,0,1836,862,0,0,3672,2875,3.0,310,0,0,1,1,1,12.542544882151386,1,2,4,3,2,2,1,1,1,1,2,1,2,4,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,3,1,1,3,1,4,1,1,1,3,4,1,1,1,4,3,22,11,11,13,11,280000
574,0.0,0,384,384,774,656,1430,400,0,0,1814,1430,2.5,100,0,1,1,1,1,12.0435537160324,4,2,3,2,2,2,1,1,1,2,2,1,1,4,2,3,3,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,3,1,2,3,1,3,1,1,1,3,1,1,1,1,2,3,23,21,11,12,11,170000
1134,0.0,584,544,1128,1142,878,2020,466,0,0,3148,2604,2.5,155,0,1,1,1,1,12.386308695833106,1,2,3,2,2,2,1,1,1,2,2,1,2,4,2,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,1,1,3,1,3,1,1,1,1,4,1,1,1,4,3,23,11,11,13,11,239500
724,0.0,0,941,941,997,473,1470,548,156,0,2411,1470,2.0,156,0,1,1,1,0,11.813030057420567,3,2,1,1,2,1,1,1,1,3,2,1,1,1,3,1,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,3,3,1,3,1,2,2,1,1,1,1,1,1,1,1,3,2,14,21,11,12,11,135000
112,0.0,250,134,384,774,656,1430,400,0,0,1814,1680,2.5,180,0,1,1,1,1,12.100712129872347,4,2,2,1,2,2,1,1,1,2,2,1,1,4,2,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,1,2,3,1,3,1,1,1,4,1,1,1,1,5,3,23,21,11,12,11,180000
1294,0.0,194,638,832,832,832,1664,528,259,0,2496,1858,2.5,287,0,1,1,1,1,12.000891794590135,1,2,3,2,2,1,1,1,1,2,2,1,2,4,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,3,3,1,1,2,1,3,1,1,1,1,2,1,2,1,1,2,23,21,11,12,11,162900
611,204.0,904,536,1440,1476,677,2153,736,0,0,3593,3057,3.5,395,0,1,1,1,1,12.65395846952229,1,2,2,3,2,1,1,1,1,2,3,1,2,4,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,3,1,1,3,1,4,1,1,1,4,4,1,1,1,4,3,21,11,11,11,11,313000
1335,312.0,765,0,765,765,600,1365,440,0,0,2130,2130,1.5,36,0,1,1,1,0,11.736069016284436,2,3,1,1,2,1,1,1,1,3,2,3,2,2,3,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,3,2,1,2,2,3,1,1,1,1,3,1,1,1,4,2,14,21,11,12,11,125000
632,108.0,24,1530,1554,1554,0,1554,627,0,0,3108,1578,2.0,229,0,0,1,1,1,12.25247901834433,1,2,1,1,2,1,1,1,1,1,2,2,2,4,2,4,3,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,3,1,1,4,1,3,1,1,1,3,4,1,1,1,2,4,22,11,11,13,11,209500
630,259.0,624,288,1248,1350,0,1350,520,0,0,2598,2310,2.5,176,0,0,1,1,0,12.034691028774551,4,2,3,2,2,1,1,2,1,3,1,1,1,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,3,1,1,2,1,3,1,1,1,4,1,1,3,1,3,2,14,21,11,12,11,168500
1302,0.0,547,224,771,753,741,1494,213,224,0,2265,2041,1.0,224,0,1,1,1,1,12.086725887897607,3,2,3,1,2,2,2,1,1,2,2,1,2,3,3,1,1,2,2,2,1,2,2,1,1,2,1,1,3,1,1,1,1,2,3,1,1,1,2,2,1,1,2,1,1,1,1,1,4,1,22,21,11,13,11,177500
1439,0.0,600,312,912,1236,0,1236,923,0,0,2148,1836,2.0,316,0,0,1,1,0,11.91638857040772,1,3,3,1,2,1,1,1,1,3,1,1,2,3,3,2,3,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,3,1,1,1,2,3,1,1,1,1,4,4,2,1,5,2,14,21,12,12,11,149700
